arm,guest_n,memory_current_kib,memory_anon_kib,threads,guest_touched_kib,host_available_kib,host_delta_kib
idle-thp-on,1,93124,71808,13,76340,11136660,121988
idle-thp-on,2,74772,70972,13,77228,11021868,236780
idle-thp-on,3,74472,71016,13,76100,10921092,337556
idle-thp-on,4,74640,71252,13,76748,10830348,428300
idle-thp-on,5,75056,71400,13,77532,10737748,520900
idle-thp-on,6,74964,71392,13,77096,10642552,616096
idle-thp-on,7,74068,70356,13,76436,10545772,712876
idle-thp-on,8,75124,71628,13,76472,10446988,811660
idle-thp-on,9,73224,69844,13,76112,10354980,903668
idle-thp-on,10,74364,70776,13,76248,10252720,1005928
idle-thp-on,11,73796,70576,13,80460,10163792,1094856
idle-thp-on,12,73748,70152,13,77088,10068824,1189824
idle-thp-on,13,74144,70516,13,77824,9962744,1295904
idle-thp-on,14,74060,70700,13,76700,9874432,1384216
idle-thp-on,15,74416,70788,13,76140,9762716,1495932
idle-thp-on,16,73848,70428,13,76264,9657172,1601476
idle-thp-on,17,74160,70556,13,76656,9556808,1701840
idle-thp-on,18,75040,71172,13,76024,9476204,1782444
idle-thp-on,19,74136,70852,13,79976,9373088,1885560
idle-thp-on,20,73940,70420,13,76528,9264988,1993660
idle-thp-on,21,74296,70556,13,76340,9165272,2093376
idle-thp-on,22,73740,70092,13,77388,9081024,2177624
idle-thp-on,23,74496,71100,13,76276,8982720,2275928
idle-thp-on,24,73552,70044,13,76696,8901300,2357348
idle-thp-on,25,75100,71452,13,76484,8807948,2450700
idle-thp-on,26,75692,72164,13,77060,8696960,2561688
idle-thp-on,27,73788,69844,13,76436,8594864,2663784
idle-thp-on,28,74236,70500,13,76344,8508900,2749748
idle-thp-on,29,74344,70664,13,76380,8414048,2844600
idle-thp-on,30,74272,70644,13,76340,8310112,2948536
idle-thp-on,31,74376,70628,13,76560,8197504,3061144
idle-thp-on,32,74200,70256,13,76792,8116588,3142060
idle-thp-on,33,73272,69748,13,76492,8016128,3242520
idle-thp-on,34,74756,70772,13,76204,7915016,3343632
idle-thp-on,35,74148,70332,13,76688,7807708,3450940
idle-thp-on,36,76080,72112,13,76952,7721316,3537332
idle-thp-on,37,74716,70996,13,76144,7644772,3613876
idle-thp-on,38,75408,71300,13,76648,7589968,3668680
idle-thp-on,39,74436,71068,13,76200,7458692,3799956
idle-thp-on,40,74744,70992,13,76236,7330620,3928028
idle-thp-on,41,74588,70604,13,76728,7221152,4037496
idle-thp-on,42,74848,71308,13,77108,7126808,4131840
idle-thp-on,43,75612,72040,13,78080,7030436,4228212
idle-thp-on,44,73208,69836,13,76628,6933980,4324668
idle-thp-on,45,73588,69872,13,76512,6826976,4431672
idle-thp-on,46,74660,71036,13,76928,6740224,4518424
idle-thp-on,47,74592,71416,13,77112,6637224,4621424
idle-thp-on,48,73744,70112,13,76972,6534296,4724352
idle-thp-on,49,73604,70260,13,77624,6428160,4830488
idle-thp-on,50,74444,71000,13,76268,6321924,4936724
idle-thp-on,51,74296,70956,13,76160,6245960,5012688
idle-thp-on,52,72804,69588,13,76588,6127540,5131108
idle-thp-on,53,73316,69896,13,76504,6021076,5237572
idle-thp-on,54,74224,70768,13,77280,5940620,5318028
idle-thp-on,55,74968,70956,13,76652,5842796,5415852
idle-thp-on,56,73684,70256,13,77520,5761792,5496856
idle-thp-on,57,75324,71836,13,77332,5641800,5616848
idle-thp-on,58,74632,71200,13,77452,5535292,5723356
idle-thp-on,59,73108,70032,13,76196,5443196,5815452
idle-thp-on,60,75292,71300,13,76304,5328244,5930404
idle-thp-on,61,73332,69776,13,76360,5238468,6020180
idle-thp-on,62,74820,71492,13,76128,5140828,6117820
idle-thp-on,63,73040,69644,13,76224,5054200,6204448
idle-thp-on,64,74676,70884,13,76124,4936248,6322400
idle-thp-on,65,74040,70840,13,76312,4835036,6423612
idle-thp-on,66,74000,70996,13,76912,4773204,6485444
idle-thp-on,67,77172,71388,13,77164,4690996,6567652
idle-thp-on,68,74604,70860,13,76176,4619864,6638784
idle-thp-on,69,75232,70904,13,76540,4512316,6746332
idle-thp-on,70,73896,71048,13,76296,4424576,6834072
idle-thp-on,71,73408,69816,13,77660,4307788,6950860
idle-thp-on,72,73228,70336,13,76428,4231284,7027364
idle-thp-on,73,74624,71200,13,76204,4192132,7066516
idle-thp-on,74,73036,70328,13,77508,4077576,7181072
idle-thp-on,75,74300,71552,13,76316,4004468,7254180
idle-thp-on,76,73476,69900,13,77132,3871964,7386684
idle-thp-on,77,74228,70328,13,75992,3798200,7460448
idle-thp-on,78,75208,70592,13,76616,3684068,7574580
idle-thp-on,79,74200,70424,13,76708,3571236,7687412
idle-thp-on,80,74768,71216,13,77208,3472624,7786024
idle-thp-on,81,74340,71280,13,76488,3383208,7875440
idle-thp-on,82,74060,71040,13,76392,3260416,7998232
idle-thp-off,1,74744,71192,13,77428,11061060,106392
idle-thp-off,2,73588,69864,13,76632,10962008,205444
idle-thp-off,3,74024,70684,13,76956,10849780,317672
idle-thp-off,4,75208,71556,13,76916,10762336,405116
idle-thp-off,5,74260,70596,13,76088,10665844,501608
idle-thp-off,6,74284,70588,13,76692,10566200,601252
idle-thp-off,7,74544,70864,13,76172,10472960,694492
idle-thp-off,8,73284,69976,13,76140,10370504,796948
idle-thp-off,9,74376,71012,13,77240,10283908,883544
idle-thp-off,10,74696,71052,13,80196,10183872,983580
idle-thp-off,11,74228,71068,13,76400,10086532,1080920
idle-thp-off,12,74296,70868,13,76416,9992332,1175120
idle-thp-off,13,74172,70844,13,76364,9890976,1276476
idle-thp-off,14,74100,70552,13,77948,9782612,1384840
idle-thp-off,15,73996,70164,13,76096,9691572,1475880
idle-thp-off,16,74144,70776,13,76132,9591584,1575868
idle-thp-off,17,74124,70920,13,76236,9493228,1674224
idle-thp-off,18,73584,69912,13,80196,9398628,1768824
idle-thp-off,19,74872,71064,13,76368,9291480,1875972
idle-thp-off,20,73800,70584,13,76220,9195172,1972280
idle-thp-off,21,73828,70096,13,77040,9117968,2049484
idle-thp-off,22,75244,71596,13,77840,9006572,2160880
idle-thp-off,23,73492,70024,13,76648,8903104,2264348
idle-thp-off,24,73836,70108,13,76748,8816536,2350916
idle-thp-off,25,74860,71180,13,76364,8725252,2442200
idle-thp-off,26,73748,70300,13,76312,8634376,2533076
idle-thp-off,27,74212,70792,13,76140,8553604,2613848
idle-thp-off,28,74276,71380,13,77300,8443344,2724108
idle-thp-off,29,74752,71004,13,78104,8330448,2837004
idle-thp-off,30,74700,70812,13,76328,8248628,2918824
idle-thp-off,31,74824,71324,13,76308,8150272,3017180
idle-thp-off,32,73664,70440,13,77216,8050220,3117232
idle-thp-off,33,73748,70328,13,76896,7955516,3211936
idle-thp-off,34,74140,70668,13,76720,7853268,3314184
idle-thp-off,35,74300,70480,13,77192,7769944,3397508
idle-thp-off,36,75080,71228,13,77360,7672008,3495444
idle-thp-off,37,74672,70668,13,76104,7571520,3595932
