mode,memory_mib,guest_n,memory_current_kib,memory_anon_kib,memory_file_kib,threads,touched_avail_kib,touched_free_kib,guest_total_kib,guest_cached_kib
idle,512,1,74300,70668,612,13,76360,50072,528704,14328
idle,512,2,75348,72064,612,13,76380,50092,528704,14328
idle,512,3,73520,70412,612,13,76540,50252,528704,14328
idle,512,4,74472,71596,612,13,76268,49980,528704,14328
idle,1024,1,82520,79084,624,13,76560,50272,1044800,14328
idle,1024,2,81360,78728,612,13,77448,51160,1044800,14328
idle,1024,3,82616,79656,612,13,76972,50684,1044800,14328
idle,1024,4,81600,78856,612,13,76820,50532,1044800,14328
fill,512,1,499008,494552,612,13,505004,478716,528704,14328
fill,512,2,498520,493772,612,13,504528,478240,528704,14328
fill,512,3,499656,495296,612,13,504632,478344,528704,14328
fill,512,4,498996,494144,612,13,505216,478928,528704,14328
fill,1024,1,922824,916736,612,13,923700,897412,1044800,14328
fill,1024,2,922608,916416,612,13,925244,898956,1044800,14328
fill,1024,3,923332,917392,612,13,924444,898156,1044800,14328
fill,1024,4,924076,917888,612,13,923284,896996,1044800,14328
