t_secs,phase,memory_current_kib,memory_anon_kib,guest_touched_kib
2,filled,1165760,616948,113000
8,filled,1165676,616948,113000
13,filled,1165484,616948,113000
18,filled,1165484,616948,113000
23,filled,1165484,616948,113000
28,filled,1165484,616948,113000
33,filled,1165452,616948,113000
38,filled,1165428,616948,113000
43,filled,1165428,616948,113000
48,filled,1165428,616948,113000
54,filled,1165428,616948,113000
59,filled,1165196,616948,113000
64,filled,1165196,616948,113000
69,filled,1165196,616948,113000
74,filled,1165196,616948,113000
79,filled,1164976,616948,113000
84,filled,1164976,616948,113000
89,filled,1164976,616948,113000
95,filled,915376,367092,113000
100,dropped,661164,113140,91704
105,dropped,661420,113140,91704
110,dropped,661420,113140,91704
115,dropped,661420,113140,91704
120,dropped,661420,113140,91704
125,dropped,661420,113140,91704
130,dropped,661164,113140,91704
135,dropped,661164,113140,91704
141,dropped,661420,113140,91704
146,dropped,661420,113140,91704
151,dropped,661420,113140,91704
