arm,run,launch,commit,total_us,podman_us,shim_us,kernel_us,flow_init_us,connector_init_us,console_lag_us
off,1,1,6a2a47d6af6,461017,,,,,,
off,1,2,6a2a47d6af6,379065,,,,,,
off,10,1,6a2a47d6af6,397531,,,,,,
off,10,2,6a2a47d6af6,409313,,,,,,
off,11,1,6a2a47d6af6,419489,,,,,,
off,11,2,6a2a47d6af6,414356,,,,,,
off,12,1,6a2a47d6af6,405966,,,,,,
off,12,2,6a2a47d6af6,419930,,,,,,
off,13,1,6a2a47d6af6,421415,,,,,,
off,13,2,6a2a47d6af6,408453,,,,,,
off,14,1,6a2a47d6af6,403975,,,,,,
off,14,2,6a2a47d6af6,411720,,,,,,
off,15,1,6a2a47d6af6,413245,,,,,,
off,15,2,6a2a47d6af6,417737,,,,,,
off,16,1,6a2a47d6af6,408032,,,,,,
off,16,2,6a2a47d6af6,417123,,,,,,
off,17,1,6a2a47d6af6,408787,,,,,,
off,17,2,6a2a47d6af6,412781,,,,,,
off,18,1,6a2a47d6af6,403442,,,,,,
off,18,2,6a2a47d6af6,413043,,,,,,
off,19,1,6a2a47d6af6,416294,,,,,,
off,19,2,6a2a47d6af6,412250,,,,,,
off,2,1,6a2a47d6af6,396947,,,,,,
off,2,2,6a2a47d6af6,463415,,,,,,
off,20,1,6a2a47d6af6,404910,,,,,,
off,20,2,6a2a47d6af6,412779,,,,,,
off,3,1,6a2a47d6af6,386370,,,,,,
off,3,2,6a2a47d6af6,406683,,,,,,
off,4,1,6a2a47d6af6,409058,,,,,,
off,4,2,6a2a47d6af6,386815,,,,,,
off,5,1,6a2a47d6af6,377739,,,,,,
off,5,2,6a2a47d6af6,391010,,,,,,
off,6,1,6a2a47d6af6,404655,,,,,,
off,6,2,6a2a47d6af6,421503,,,,,,
off,7,1,6a2a47d6af6,401747,,,,,,
off,7,2,6a2a47d6af6,396487,,,,,,
off,8,1,6a2a47d6af6,381911,,,,,,
off,8,2,6a2a47d6af6,437258,,,,,,
off,9,1,6a2a47d6af6,396041,,,,,,
off,9,2,6a2a47d6af6,413497,,,,,,
on,1,1,6a2a47d6af6,729157,147235,52004,204406,6519,318993,286228
on,1,2,6a2a47d6af6,664953,125796,22040,201241,6313,309563,286978
on,10,1,6a2a47d6af6,673665,117082,27651,200782,7005,321145,295935
on,10,2,6a2a47d6af6,676484,124895,24137,201974,7229,318249,295128
on,11,1,6a2a47d6af6,676061,126941,24322,204597,6997,313204,290379
on,11,2,6a2a47d6af6,675949,120696,28546,200274,6404,320029,291290
on,12,1,6a2a47d6af6,682705,120968,28696,201177,7241,324623,291514
on,12,2,6a2a47d6af6,706030,152892,22430,209804,6639,314265,291420
on,13,1,6a2a47d6af6,691931,133978,22572,204945,5953,324483,295165
on,13,2,6a2a47d6af6,751441,197169,29513,198553,7232,318974,292217
on,14,1,6a2a47d6af6,696735,147841,25385,205075,6519,311915,288533
on,14,2,6a2a47d6af6,703910,152694,22447,205928,6431,316410,294337
on,15,1,6a2a47d6af6,715929,162489,30458,202117,6852,314013,291252
on,15,2,6a2a47d6af6,730294,174052,27691,205404,6150,316997,293393
on,16,1,6a2a47d6af6,676959,121456,22819,201597,6539,324548,302017
on,16,2,6a2a47d6af6,695795,125469,21149,215660,6746,326771,298171
on,17,1,6a2a47d6af6,735400,179313,28814,202036,6637,318600,288841
on,17,2,6a2a47d6af6,674000,127755,29031,197641,6008,313565,290427
on,18,1,6a2a47d6af6,679312,143216,21485,196536,5821,312254,288313
on,18,2,6a2a47d6af6,679887,137040,23792,199076,5776,314203,290386
on,19,1,6a2a47d6af6,670502,122659,21416,204748,6079,315600,292904
on,19,2,6a2a47d6af6,685184,121612,30302,209063,6222,317985,293675
on,2,1,6a2a47d6af6,660873,122325,26886,195931,6724,309007,285918
on,2,2,6a2a47d6af6,664657,130460,20861,200778,6290,306268,282166
on,20,1,6a2a47d6af6,684902,122504,26099,209938,6497,319864,295134
on,20,2,6a2a47d6af6,679376,124412,26881,203509,6619,317955,295241
on,3,1,6a2a47d6af6,679587,152643,20508,196216,6456,303764,281183
on,3,2,6a2a47d6af6,796987,252566,25695,201725,6569,310432,287803
on,4,1,6a2a47d6af6,733349,191123,23624,192866,7714,318022,288876
on,4,2,6a2a47d6af6,682493,139766,20508,204482,6443,311294,288831
on,5,1,6a2a47d6af6,664951,128436,18085,202814,6695,308921,286472
on,5,2,6a2a47d6af6,657131,124223,19601,197277,6277,309753,285099
on,6,1,6a2a47d6af6,684929,139227,25658,203463,6080,310501,286046
on,6,2,6a2a47d6af6,721303,173543,21232,201800,6361,318367,289640
on,7,1,6a2a47d6af6,733051,181791,28157,202705,7449,312949,288340
on,7,2,6a2a47d6af6,670838,133282,21712,201076,6114,308654,284146
on,8,1,6a2a47d6af6,700329,160976,22861,201381,6125,308986,285255
on,8,2,6a2a47d6af6,673901,127530,24093,201772,5894,314612,290304
on,9,1,6a2a47d6af6,696791,147807,23222,202050,6150,317562,288863
on,9,2,6a2a47d6af6,718610,173117,21478,198743,5566,319706,292512
