commit,stage,run,import_pandas_ms,python_c_pass_ms,cpu_ms
18ae8986a0a,primary-cold,1,1122.65,39.578,
18ae8986a0a,primary-warm,1,511.441,28.4,
18ae8986a0a,primary-cold2,1,670.021,30.127,
18ae8986a0a,primary-blk-cold,1,344.772,27.964,
18ae8986a0a,primary-blk-warm,1,257.937,28.66,
18ae8986a0a,primary-cpu,1,,,556.192
18ae8986a0a,share-cold,1,1383.601,38.14,
18ae8986a0a,share-warm,1,431.19,26.898,
18ae8986a0a,share-cold2,1,506.089,26.333,
18ae8986a0a,share-blk-cold,1,343.01,26.022,
18ae8986a0a,share-blk-warm,1,246.788,28.404,
18ae8986a0a,share-cpu,1,,,594.543
18ae8986a0a,deps-cold,1,820.525,37.544,
18ae8986a0a,deps-warm,1,255.269,27.446,
18ae8986a0a,deps-cold2,1,451.18,34.936,
18ae8986a0a,deps-cpu,1,,,567.371
18ae8986a0a,deps-prefault,1,611.081,27.869,
18ae8986a0a,container-cold,1,390.38,11.232,
18ae8986a0a,container-warm,1,221.47,10.91,
18ae8986a0a,container-cpu,1,,,571.305
18ae8986a0a,primary-cold,2,1125.66,44.042,
18ae8986a0a,primary-warm,2,516.302,28.433,
18ae8986a0a,primary-cold2,2,715.212,28.841,
18ae8986a0a,primary-blk-cold,2,340.175,27.504,
18ae8986a0a,primary-blk-warm,2,248.363,27.499,
18ae8986a0a,primary-cpu,2,,,581.724
18ae8986a0a,share-cold,2,946.992,38.535,
18ae8986a0a,share-warm,2,439.108,28.965,
18ae8986a0a,share-cold2,2,493.789,28.823,
18ae8986a0a,share-blk-cold,2,344.375,26.203,
18ae8986a0a,share-blk-warm,2,245.005,26.18,
18ae8986a0a,share-cpu,2,,,603.58
18ae8986a0a,deps-cold,2,821.969,39.438,
18ae8986a0a,deps-warm,2,252.9,26.872,
18ae8986a0a,deps-cold2,2,454.603,33.095,
18ae8986a0a,deps-cpu,2,,,551.989
18ae8986a0a,deps-prefault,2,621.449,27.364,
18ae8986a0a,container-cold,2,391.739,11.446,
18ae8986a0a,container-warm,2,221.213,11.038,
18ae8986a0a,container-cpu,2,,,549.285
18ae8986a0a,primary-cold,3,1103.84,38.358,
18ae8986a0a,primary-warm,3,533.881,28.209,
18ae8986a0a,primary-cold2,3,672.37,30.021,
18ae8986a0a,primary-blk-cold,3,380.419,28.23,
18ae8986a0a,primary-blk-warm,3,253.803,28.248,
18ae8986a0a,primary-cpu,3,,,580.547
18ae8986a0a,share-cold,3,934.823,38.861,
18ae8986a0a,share-warm,3,490.135,29.229,
18ae8986a0a,share-cold2,3,493.127,28.899,
18ae8986a0a,share-blk-cold,3,340.33,26.075,
18ae8986a0a,share-blk-warm,3,241.206,26.175,
18ae8986a0a,share-cpu,3,,,557.793
18ae8986a0a,deps-cold,3,826.19,38.371,
18ae8986a0a,deps-warm,3,251.565,26.936,
18ae8986a0a,deps-cold2,3,487.049,34.447,
18ae8986a0a,deps-cpu,3,,,544.798
18ae8986a0a,deps-prefault,3,622.736,27.3,
18ae8986a0a,container-cold,3,393.87,11.334,
18ae8986a0a,container-warm,3,221.745,11.075,
18ae8986a0a,container-cpu,3,,,558.933
18ae8986a0a,primary-cold,4,1093.529,40.309,
18ae8986a0a,primary-warm,4,517.06,31.503,
18ae8986a0a,primary-cold2,4,685.517,30.701,
18ae8986a0a,primary-blk-cold,4,348.886,30.159,
18ae8986a0a,primary-blk-warm,4,250.833,27.85,
18ae8986a0a,primary-cpu,4,,,557.461
18ae8986a0a,share-cold,4,949.267,37.643,
18ae8986a0a,share-warm,4,544.622,27.673,
18ae8986a0a,share-cold2,4,486.702,26.989,
18ae8986a0a,share-blk-cold,4,338.085,26.065,
18ae8986a0a,share-blk-warm,4,246.572,25.754,
18ae8986a0a,share-cpu,4,,,564.552
18ae8986a0a,deps-cold,4,801.055,38.161,
18ae8986a0a,deps-warm,4,384.765,35.758,
18ae8986a0a,deps-cold2,4,379.872,30.603,
18ae8986a0a,deps-cpu,4,,,574.067
18ae8986a0a,deps-prefault,4,600.389,28.105,
18ae8986a0a,container-cold,4,391.87,11.385,
18ae8986a0a,container-warm,4,224.898,10.963,
18ae8986a0a,container-cpu,4,,,582.077
18ae8986a0a,primary-cold,5,1136.746,43.335,
18ae8986a0a,primary-warm,5,507.861,28.579,
18ae8986a0a,primary-cold2,5,704.732,28.319,
18ae8986a0a,primary-blk-cold,5,343.889,28.077,
18ae8986a0a,primary-blk-warm,5,246.162,27.849,
18ae8986a0a,primary-cpu,5,,,572.64
18ae8986a0a,share-cold,5,937.248,39.966,
18ae8986a0a,share-warm,5,520.726,26.625,
18ae8986a0a,share-cold2,5,490.683,27.035,
18ae8986a0a,share-blk-cold,5,344.481,25.742,
18ae8986a0a,share-blk-warm,5,242.715,25.947,
18ae8986a0a,share-cpu,5,,,557.213
18ae8986a0a,deps-cold,5,837.802,38.258,
18ae8986a0a,deps-warm,5,254.826,27.428,
18ae8986a0a,deps-cold2,5,399.985,26.744,
18ae8986a0a,deps-cpu,5,,,591.975
18ae8986a0a,deps-prefault,5,622.352,26.883,
18ae8986a0a,container-cold,5,390.828,11.456,
18ae8986a0a,container-warm,5,234.157,11.374,
18ae8986a0a,container-cpu,5,,,647.398
