commit,cell,run,import_pandas_ms,python_c_pass_ms,helper_wall_ms,launch
18ae8986a0a,blk-ext4,1,813.631,38.204,2293,host
18ae8986a0a,blk-ext4,2,816.765,38.743,2309,host
18ae8986a0a,blk-ext4,3,830.979,37.151,2299,host
18ae8986a0a,blk-ext4,4,835.462,39.97,2314,host
18ae8986a0a,blk-ext4,5,814.36,40.208,2338,host
18ae8986a0a,blk-ext4,6,835.227,41.885,2358,host
18ae8986a0a,blk-ext4,7,822.582,38.043,2331,host
18ae8986a0a,blk-ext4,8,814.814,38.304,2298,host
18ae8986a0a,blk-ext4,9,840.328,38.707,2346,host
18ae8986a0a,blk-ext4,10,855.538,39.3,2354,host
18ae8986a0a,blk-erofs,1,830.7,39.347,2345,host
18ae8986a0a,blk-erofs,2,808.392,38.949,2317,host
18ae8986a0a,blk-erofs,3,862.801,40.335,2378,host
18ae8986a0a,blk-erofs,4,823.09,39.235,2327,host
18ae8986a0a,blk-erofs,5,857.947,38.342,2340,host
18ae8986a0a,blk-erofs,6,866.415,39.324,2348,host
18ae8986a0a,blk-erofs,7,848.755,37.638,2307,host
18ae8986a0a,blk-erofs,8,850.509,37.883,2353,host
18ae8986a0a,blk-erofs,9,851.451,37.022,2323,host
18ae8986a0a,blk-erofs,10,795.016,40.891,2270,host
18ae8986a0a,blk-ext4-reactor,1,822.449,37.506,2574,host
18ae8986a0a,blk-ext4-reactor,2,821.073,37.288,2538,host
18ae8986a0a,blk-ext4-reactor,3,763.67,40.012,2518,host
18ae8986a0a,blk-ext4-reactor,4,825.765,37.539,2575,host
18ae8986a0a,blk-ext4-reactor,5,821.124,38.955,2616,host
18ae8986a0a,blk-ext4-reactor,6,836.7,37.607,2586,host
18ae8986a0a,blk-ext4-reactor,7,816.121,38.089,2556,host
18ae8986a0a,blk-ext4-reactor,8,827.485,38.604,2568,host
18ae8986a0a,blk-ext4-reactor,9,832.994,37.553,2572,host
18ae8986a0a,blk-ext4-reactor,10,828.53,36.673,2555,host
18ae8986a0a,blk-ext4-hostcold,1,1317.473,41.702,3633,host
18ae8986a0a,blk-ext4-hostcold,2,1235.867,39.144,3681,host
18ae8986a0a,blk-ext4-hostcold,3,1236.928,39.53,3681,host
18ae8986a0a,blk-ext4-hostcold,4,1222.882,42.241,3629,host
18ae8986a0a,blk-ext4-hostcold,5,1228.52,39.717,3683,host
18ae8986a0a,blk-ext4-hostcold,6,1264.162,38.63,3703,host
18ae8986a0a,blk-ext4-hostcold,7,1248.443,40.923,3687,host
18ae8986a0a,blk-ext4-hostcold,8,1235.345,39.06,3662,host
18ae8986a0a,blk-ext4-hostcold,9,1214.087,39.57,3608,host
18ae8986a0a,blk-ext4-hostcold,10,1210.328,39.527,3565,host
18ae8986a0a,baseline,1,394.327,11.221,969,host
18ae8986a0a,baseline,2,395.526,11.883,969,host
18ae8986a0a,baseline,3,392.636,11.417,992,host
18ae8986a0a,baseline,4,393.889,11.859,976,host
18ae8986a0a,baseline,5,385.9,11.733,962,host
18ae8986a0a,baseline,6,391.047,11.321,994,host
18ae8986a0a,baseline,7,387.312,11.311,947,host
18ae8986a0a,baseline,8,386.242,11.112,954,host
18ae8986a0a,baseline,9,388.696,11.21,978,host
18ae8986a0a,baseline,10,389.957,11.141,979,host
