commit,stage,run,import_pandas_ms,python_c_pass_ms,cpu_ms
f6498560dea,primary-cold,1,1106.414,39.426,
f6498560dea,primary-warm,1,507.863,27.973,
f6498560dea,primary-cold2,1,673.159,28.319,
f6498560dea,primary-blk-cold,1,347.571,28.132,
f6498560dea,primary-blk-warm,1,246.099,28.487,
f6498560dea,primary-cpu,1,,,560.226
f6498560dea,share-cold,1,958.535,38.155,
f6498560dea,share-warm,1,473.824,35.754,
f6498560dea,share-cold2,1,578.736,28.482,
f6498560dea,share-blk-cold,1,344.357,28.355,
f6498560dea,share-blk-warm,1,247.711,26.009,
f6498560dea,share-cpu,1,,,550.951
f6498560dea,container-cold,1,389.328,11.013,
f6498560dea,container-warm,1,219.598,11.058,
f6498560dea,container-cpu,1,,,558.375
f6498560dea,primary-cold,2,1123.164,39.303,
f6498560dea,primary-warm,2,524.984,30.362,
f6498560dea,primary-cold2,2,663.789,28.315,
f6498560dea,primary-blk-cold,2,342.114,27.632,
f6498560dea,primary-blk-warm,2,250.662,28.089,
f6498560dea,primary-cpu,2,,,544.825
f6498560dea,share-cold,2,923.484,37.73,
f6498560dea,share-warm,2,426.493,26.479,
f6498560dea,share-cold2,2,492.382,26.741,
f6498560dea,share-blk-cold,2,348.517,25.593,
f6498560dea,share-blk-warm,2,245.84,25.79,
f6498560dea,share-cpu,2,,,556.622
f6498560dea,container-cold,2,389.624,11.571,
f6498560dea,container-warm,2,220.059,10.9,
f6498560dea,container-cpu,2,,,549.365
f6498560dea,primary-cold,3,1104.993,38.939,
f6498560dea,primary-warm,3,513.872,28.63,
f6498560dea,primary-cold2,3,674.59,28.997,
f6498560dea,primary-blk-cold,3,355.454,28.403,
f6498560dea,primary-blk-warm,3,252.416,28.446,
f6498560dea,primary-cpu,3,,,557.386
f6498560dea,share-cold,3,948.917,38.367,
f6498560dea,share-warm,3,493.294,36.652,
f6498560dea,share-cold2,3,541.502,27.268,
f6498560dea,share-blk-cold,3,341.689,26.312,
f6498560dea,share-blk-warm,3,240.454,25.631,
f6498560dea,share-cpu,3,,,580.584
f6498560dea,container-cold,3,388.83,11.304,
f6498560dea,container-warm,3,219.332,10.876,
f6498560dea,container-cpu,3,,,533.244
f6498560dea,primary-cold,4,1132.729,39.313,
f6498560dea,primary-warm,4,537.769,30.804,
f6498560dea,primary-cold2,4,672.158,28.03,
f6498560dea,primary-blk-cold,4,348.39,27.621,
f6498560dea,primary-blk-warm,4,243.769,28.246,
f6498560dea,primary-cpu,4,,,561.359
f6498560dea,share-cold,4,963.4,38.614,
f6498560dea,share-warm,4,428.479,27.455,
f6498560dea,share-cold2,4,508.212,27.406,
f6498560dea,share-blk-cold,4,333.393,25.844,
f6498560dea,share-blk-warm,4,241.257,25.311,
f6498560dea,share-cpu,4,,,572.75
f6498560dea,container-cold,4,394.807,10.917,
f6498560dea,container-warm,4,219.339,10.97,
f6498560dea,container-cpu,4,,,559.911
f6498560dea,primary-cold,5,1104.779,38.379,
f6498560dea,primary-warm,5,499.104,28.36,
f6498560dea,primary-cold2,5,622.314,27.926,
f6498560dea,primary-blk-cold,5,343.941,28.034,
f6498560dea,primary-blk-warm,5,249.998,27.943,
f6498560dea,primary-cpu,5,,,550.027
f6498560dea,share-cold,5,951.283,38.301,
f6498560dea,share-warm,5,540.551,35.101,
f6498560dea,share-cold2,5,489.924,27.775,
f6498560dea,share-blk-cold,5,353.052,25.398,
f6498560dea,share-blk-warm,5,241.679,25.37,
f6498560dea,share-cpu,5,,,551.416
f6498560dea,container-cold,5,390.975,11.404,
f6498560dea,container-warm,5,217.542,10.935,
f6498560dea,container-cpu,5,,,584.011
