commit,cell,run,import_pandas_ms,python_c_pass_ms,helper_wall_ms,launch
f6498560dea,primary,1,1123.876,38.899,2449,host
f6498560dea,primary,2,1122.277,40.439,2485,host
f6498560dea,primary,3,1025.387,41.053,2360,host
f6498560dea,primary,4,1140.883,43.275,2480,host
f6498560dea,primary,5,1120.869,39.402,2482,host
f6498560dea,primary,6,1106.803,39.985,2462,host
f6498560dea,primary,7,1124.852,39.082,2450,host
f6498560dea,primary,8,1110.072,39.109,2437,host
f6498560dea,primary,9,1097.165,39.932,2450,host
f6498560dea,primary,10,1109.23,40.734,2464,host
f6498560dea,primary-nothp,1,1150.574,39.956,2501,host
f6498560dea,primary-nothp,2,1119.23,40.033,2467,host
f6498560dea,primary-nothp,3,1104.415,40.17,2461,host
f6498560dea,primary-nothp,4,1113.628,40.217,2453,host
f6498560dea,primary-nothp,5,1129.05,39.511,2478,host
f6498560dea,primary-nothp,6,1117.899,40.576,2505,host
f6498560dea,primary-nothp,7,1116.486,40.012,2485,host
f6498560dea,primary-nothp,8,1102.118,39.008,2445,host
f6498560dea,primary-nothp,9,1126.67,40.223,2466,host
f6498560dea,primary-nothp,10,1001.712,39.784,2364,host
f6498560dea,share,1,923.155,38.722,2410,host
f6498560dea,share,2,931.256,37.524,2406,host
f6498560dea,share,3,930.912,37.93,2416,host
f6498560dea,share,4,929.893,37.256,2433,host
f6498560dea,share,5,960.842,37.657,2445,host
f6498560dea,share,6,923.075,38.108,2406,host
f6498560dea,share,7,929.914,38.542,2446,host
f6498560dea,share,8,924.291,38.34,2439,host
f6498560dea,share,9,947.871,39.673,2484,host
f6498560dea,share,10,960.977,39.3,2464,host
f6498560dea,share-nothp,1,967.356,38.384,2469,host
f6498560dea,share-nothp,2,935.634,37.767,2424,host
f6498560dea,share-nothp,3,926.186,38.559,2427,host
f6498560dea,share-nothp,4,960.577,39.207,2440,host
f6498560dea,share-nothp,5,952.846,38.217,2438,host
f6498560dea,share-nothp,6,937.589,38.077,2404,host
f6498560dea,share-nothp,7,930.208,37.483,2452,host
f6498560dea,share-nothp,8,935.178,39.159,2407,host
f6498560dea,share-nothp,9,940.477,40.324,2432,host
f6498560dea,share-nothp,10,950.355,38.809,2436,host
f6498560dea,share-dax,1,958.588,36.563,2492,host
f6498560dea,share-dax,2,984.108,39.039,2493,host
f6498560dea,share-dax,3,979.188,42.448,2517,host
f6498560dea,share-dax,4,939.435,38.246,2475,host
f6498560dea,share-dax,5,960.024,44.409,2500,host
f6498560dea,share-dax,6,986.532,39.403,2514,host
f6498560dea,share-dax,7,947.938,38.162,2500,host
f6498560dea,share-dax,8,956.356,37.074,2466,host
f6498560dea,share-dax,9,956.3,37.176,2464,host
f6498560dea,share-dax,10,960.875,38.344,2455,host
f6498560dea,share-dax-nothp,1,984.547,37.676,2483,host
f6498560dea,share-dax-nothp,2,949.802,39.7,2469,host
f6498560dea,share-dax-nothp,3,978.931,44.225,2524,host
f6498560dea,share-dax-nothp,4,997.819,37.028,2510,host
f6498560dea,share-dax-nothp,5,991.328,37.341,2512,host
f6498560dea,share-dax-nothp,6,953.996,38.429,2499,host
f6498560dea,share-dax-nothp,7,949.995,40.922,2472,host
f6498560dea,share-dax-nothp,8,955.425,38.204,2503,host
f6498560dea,share-dax-nothp,9,955.672,41.863,2506,host
f6498560dea,share-dax-nothp,10,976.361,39.268,2518,host
f6498560dea,baseline,1,386.428,11.391,960,host
f6498560dea,baseline,2,385.838,11.077,952,host
f6498560dea,baseline,3,388.173,11.643,947,host
f6498560dea,baseline,4,387.113,11.222,949,host
f6498560dea,baseline,5,387.096,11.068,987,host
f6498560dea,baseline,6,391.676,11.273,977,host
f6498560dea,baseline,7,388.142,11.382,975,host
f6498560dea,baseline,8,386.853,11.199,979,host
f6498560dea,baseline,9,390.371,11.135,987,host
f6498560dea,baseline,10,386.406,11.197,961,host
f6498560dea,baseline-root,1,392.237,11.203,980,host
f6498560dea,baseline-root,2,391.076,11.315,974,host
f6498560dea,baseline-root,3,390.549,11.703,966,host
f6498560dea,baseline-root,4,392.212,11.224,982,host
f6498560dea,baseline-root,5,389.764,11.391,943,host
f6498560dea,baseline-root,6,390.337,10.964,933,host
f6498560dea,baseline-root,7,388.564,11.016,996,host
f6498560dea,baseline-root,8,386.114,11.02,943,host
f6498560dea,baseline-root,9,388.032,11.206,977,host
f6498560dea,baseline-root,10,386.802,11.074,944,host
