set,probe,expect,result,pass,ms
public-user,dns-public,dns-ok,"ok:104.20.23.154,172.66.147.243",True,18
public-user,connect-resolved-443,connect-ok,connected,True,13
public-user,connect-resolved-25,blocked,timeout,True,3003
public-user,connect-unresolved-ip,blocked,timeout,True,3003
public-user,dns-rfc1918,dns-error,error:gai-3,True,2
public-user,connect-metadata,blocked,timeout,True,3003
public-user,connect-helper-tap,blocked,timeout,True,3003
public-user,connect-helper-uplink,blocked,timeout,True,3003
public-user,dns-helper-uplink,blocked,timeout,True,3003
public-user,dns-aaaa-empty,aaaa-empty,empty,True,0
public-user,connect-gateway,blocked,timeout,True,3003
public-user,connect-ipv6,no-ipv6,error:EADDRNOTAVAIL,True,0
public-user,inbound-listener,no-inbound,no-connection,True,5005
public-user,dns-ttl-clamped,in-range,ttl:90,True,2
public-user,ttl-connect-before,connect-ok,connected,True,0
public-user,ttl-connect-after-expiry,blocked,timeout,True,3006
public-user,ttl-held-connection-survives,connect-ok,connected,True,1
public-user,ttl-reresolve-connect,connect-ok,connected,True,3
public-root,dns-public,dns-ok,"ok:104.20.23.154,172.66.147.243",True,18
public-root,connect-resolved-443,connect-ok,connected,True,14
public-root,connect-resolved-25,blocked,timeout,True,3001
public-root,connect-unresolved-ip,blocked,timeout,True,3003
public-root,dns-rfc1918,dns-error,error:gai-3,True,2
public-root,connect-metadata,blocked,timeout,True,3003
public-root,connect-helper-tap,blocked,timeout,True,3003
public-root,connect-helper-uplink,blocked,timeout,True,3003
public-root,dns-helper-uplink,blocked,timeout,True,3003
public-root,dns-aaaa-empty,aaaa-empty,empty,True,0
public-root,connect-gateway,blocked,timeout,True,3003
public-root,connect-ipv6,no-ipv6,error:EADDRNOTAVAIL,True,0
public-root,inbound-listener,no-inbound,no-connection,True,5005
public-root,icmp-blocked,blocked,timeout,True,3003
public-root,spoofed-source,sent,sent,True,0
public-root,dns-ttl-clamped,in-range,ttl:90,True,2
spoof-nft,icmp-blocked,blocked,timeout,True,3003
spoof-nft,spoofed-source,sent,sent,True,0
declared,connect-declared-port,connect-ok,connected,True,2
declared,connect-declared-other-port,blocked,timeout,True,3003
declared,connect-undeclared-ip,blocked,timeout,True,3003
