t_secs,cpu_usec,memory_current_bytes,memory_anon_bytes,threads
0,517964,51765248,49020928,12
10,2546474,98037760,91914240,14
20,4114589,98553856,92270592,14
30,5680588,98553856,92352512,14
40,7249013,98734080,92545024,14
50,8711069,98676736,92569600,14
60,10200862,99577856,92827648,14
70,11661330,99414016,92835840,14
80,13149355,99450880,92852224,14
90,14654944,99794944,92889088,14
100,16094598,99594240,92921856,14
110,17534542,99176448,92938240,14
120,19017668,98512896,93011968,14
130,20503776,98754560,93028352,14
140,21972847,99586048,93044736,14
150,23479685,99332096,93061120,14
160,24947815,99581952,93077504,14
170,26408115,99233792,93089792,14
180,27908436,98791424,93106176,14
190,29376023,99008512,93122560,14
201,30839080,99360768,93143040,14
211,32331702,99934208,93159424,14
221,33805374,100184064,93175808,14
231,35297106,100179968,93192192,14
241,36756062,99913728,93204480,14
251,38291638,99676160,93220864,14
261,39841610,99749888,93237248,14
271,41379218,99344384,93253632,14
281,42976173,99684352,93270016,14
291,44569003,99241984,93286400,14
301,46166431,99471360,93302784,14
311,47669605,99270656,93319168,14
321,49181501,99266560,93331456,14
331,50711373,99356672,93347840,14
341,52203228,99414016,93368320,14
351,53711331,99307520,93384704,14
361,55232440,99577856,93401088,14
371,56773367,99913728,93417472,14
381,58304301,99926016,93433856,14
392,59868783,100093952,93446144,14
402,61444627,99201024,93474816,14
412,63006775,99729408,93491200,14
422,64603899,99659776,93507584,14
432,66205567,100306944,93523968,14
442,67794407,100200448,93548544,14
452,69381123,99463168,93564928,14
462,70976773,99463168,93581312,14
472,72547348,100392960,93626368,14
482,74127923,100126720,93642752,14
492,75698788,99414016,93659136,14
502,77290027,100155392,93675520,14
512,78830378,99618816,93691904,14
522,80385667,99860480,93704192,14
532,81972330,100593664,93720576,14
542,83555623,99708928,93736960,14
552,85123835,100216832,93753344,14
562,86666731,100065280,93769728,14
572,88268172,100245504,93786112,14
582,89862903,99647488,93806592,14
593,91437580,99549184,93822976,14
